borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Queens,2020-04-13,248224.0,225291.0,180997,44294,67227
Brooklyn,2020-04-13,265611.0,262917.0,218779,44138,46832
Staten Island,2020-04-20,87415.0,73327.0,66886,6441,20529
Manhattan,2020-04-20,112604.0,180335.0,88552,91783,24052
Bronx,2020-04-20,175033.0,161365.0,128283,33082,46750
Queens,2020-04-20,272999.0,246840.0,196479,50361,76520
Brooklyn,2020-04-20,289575.0,288476.0,237211,51265,52364
Staten Island,2020-04-27,102116.0,86566.0,78567,7999,23549
Manhattan,2020-04-27,124048.0,196317.0,94591,101726,29457
Bronx,2020-04-27,193830.0,177944.0,140838,37106,52992
Queens,2020-04-27,310591.0,278589.0,221976,56613,88615
Brooklyn,2020-04-27,321495.0,321974.0,262151,59823,59344
Staten Island,2020-05-04,107287.0,89768.0,80789,8979,26498
Manhattan,2020-05-04,111099.0,191843.0,79682,112161,31417
Bronx,2020-05-04,191476.0,176598.0,134535,42063,56941
Queens,2020-05-04,310661.0,278093.0,214424,63669,96237
Brooklyn,2020-05-04,315363.0,318714.0,252112,66602,63251
Staten Island,2020-05-11,113548.0,93913.0,84663,9250,28885
Manhattan,2020-05-11,111984.0,199859.0,80879,118980,31105
Bronx,2020-05-11,193577.0,175749.0,134223,41526,59354
Queens,2020-05-11,324151.0,289091.0,223766,65325,100385
Brooklyn,2020-05-11,336209.0,333239.0,265218,68021,70991
Staten Island,2020-05-18,121338.0,100513.0,89897,10616,31441
Manhattan,2020-05-18,121111.0,211795.0,86976,124819,34135
Bronx,2020-05-18,203504.0,185413.0,141408,44005,62096
Queens,2020-05-18,352552.0,312718.0,242831,69887,109721
Brooklyn,2020-05-18,348484.0,347903.0,274636,73267,73848
Staten Island,2020-05-25,126597.0,104837.0,93949,10888,32648
Manhattan,2020-05-25,134185.0,225853.0,95500,130353,38685
Bronx,2020-05-25,221680.0,200583.0,154499,46084,67181
Queens,2020-05-25,374773.0,333277.0,259554,73723,115219
Brooklyn,2020-05-25,377383.0,372582.0,296422,76160,80961
Staten Island,2020-06-01,128204.0,104288.0,93273,11015,34931
Manhattan,2020-06-01,125195.0,227694.0,87487,140207,37708
Bronx,2020-06-01,214030.0,191067.0,145212,45855,68818
Queens,2020-06-01,367077.0,325463.0,248938,76525,118139
Brooklyn,2020-06-01,365930.0,361743.0,283402,78341,82528
Staten Island,2020-06-08,144339.0,115608.0,104030,11578,40309
Manhattan,2020-06-08,137216.0,250304.0,95063,155241,42153
Bronx,2020-06-08,232955.0,206289.0,156828,49461,76127
Queens,2020-06-08,406966.0,358242.0,273763,84479,133203
Brooklyn,2020-06-08,399569.0,395319.0,308135,87184,91434
Staten Island,2020-06-15,152515.0,120321.0,107850,12471,44665
Manhattan,2020-06-15,138813.0,258687.0,94063,164624,44750
Bronx,2020-06-15,236859.0,206617.0,156159,50458,80700
Queens,2020-06-15,423153.0,369925.0,281285,88640,141868
Brooklyn,2020-06-15,411675.0,407797.0,316847,90950,94828
Staten Island,2020-06-22,171383.0,136981.0,122987,13994,48396
Manhattan,2020-06-22,152279.0,287719.0,105248,182471,47031
Bronx,2020-06-22,255491.0,222744.0,169375,53369,86116
Queens,2020-06-22,462765.0,404006.0,307953,96053,154812
Brooklyn,2020-06-22,449704.0,440453.0,344576,95877,105128
Staten Island,2020-06-29,169904.0,133621.0,119371,14250,50533
Manhattan,2020-06-29,155241.0,277855.0,104971,172884,50270
Bronx,2020-06-29,256719.0,221819.0,169015,52804,87704
Queens,2020-06-29,467859.0,403719.0,308528,95191,159331
Brooklyn,2020-06-29,446511.0,437578.0,338313,99265,108198
Staten Island,2020-07-06,168234.0,132936.0,118894,14042,49340
Manhattan,2020-07-06,138132.0,269498.0,93467,176031,44665
Bronx,2020-07-06,236993.0,205604.0,155275,50329,81718
Queens,2020-07-06,450273.0,391163.0,297140,94023,153133
Brooklyn,2020-07-06,422506.0,414541.0,318837,95704,103669
Staten Island,2020-07-13,179828.0,143025.0,127508,15517,52320
Manhattan,2020-07-13,151491.0,293924.0,102909,191015,48582
Bronx,2020-07-13,252232.0,215963.0,163309,52654,88923
Queens,2020-07-13,473907.0,410525.0,310915,99610,162992
Brooklyn,2020-07-13,456086.0,445110.0,342987,102123,113099
Staten Island,2020-07-20,176682.0,138784.0,123330,15454,53352
Manhattan,2020-07-20,154622.0,302731.0,103833,198898,50789
