zipcode,zip_population,income,uni_edu_per,w_per,b_per,a_per,h_per
10709,9292,135083.2299,0.39406059,0.888032824,0.01948461,0.071799182,0.05594124
10710,25120,98664.70003,0.316501712,0.596452309,0.140518471,0.135411744,0.243632444
10801,40827,72226.13776,0.217015064,0.481675999,0.266524555,0.052693781,0.339563059
10803,12435,160291.7977,0.411156092,0.762703981,0.10395384,0.068516446,0.130946361
10804,14146,199596.4425,0.570465644,0.854323413,0.07943355,0.057992083,0.071912908
10805,18414,69339.67311,0.280898664,0.594296839,0.187408928,0.046798686,0.381554144
10901,23465,99785.39276,0.341389602,0.800096825,0.04738355,0.062476113,0.128625655
10913,5532,130300.0743,0.337428597,0.874997289,0.022111352,0.050982466,0.108054049
10920,8554,121587.5022,0.307643325,0.754507131,0.045471242,0.10209855,0.132459902
10923,8732,98118.68292,0.160805199,0.44221404,0.131902657,0.05750355,0.314714727
10927,11910,62544.07847,0.134089001,0.415952981,0.096893367,0.021746432,0.68790932
10952,38917,63247.65881,0.13026351,1.001266824,0.047721664,0.01865781,0.041464373
10954,23045,108997.2598,0.340140421,0.664692428,0.158277501,0.120368583,0.162460056
10956,31521,136729.1696,0.413958631,0.750508645,0.090538942,0.114403731,0.102047492
10960,15093,102628.5469,0.373424568,0.694758895,0.141363877,0.038903266,0.173428808
10962,5950,98873.65764,0.316595966,0.703746723,0.046757479,0.124767059,0.080846218
10965,14791,122462.9606,0.331799067,0.921637888,0.036185856,0.049605977,0.091287878
10970,9993,98865.78556,0.25370059,0.534783448,0.181173521,0.070752126,0.212486841
10974,3152,96977.11991,0.261395939,0.887723668,0.050832805,0.0096875,0.167918782
10977,59048,62235.14991,0.131632316,0.564704444,0.278001101,0.032794049,0.218538884
10980,13383,108553.3677,0.255993873,0.800966824,0.107013599,0.024858477,0.183508182
10983,5532,114908.6457,0.385895879,0.870231381,0.014046457,0.164766811,0.150998915
10984,2842,133043.8217,0.317154469,0.678212175,0.146185785,0.07502639,0.267524279
10986,1974,130840.7406,0.280985816,0.862145897,0.027600811,0.024907801,0.116282675
10989,9293,120320.5708,0.385660497,0.750946196,0.142430754,0.101883461,0.195328527
10993,4769,57107.34404,0.102706228,0.560972531,0.226591738,0.019830992,0.629814846
10994,7085,139592.2397,0.380023147,0.812983345,0.019805222,0.108613832,0.130368525
11004,14016,103567.5598,0.357010916,0.450632063,0.068890268,0.485729095,0.141261273
11101,25484,80347.54433,0.420892325,0.500470609,0.17007385,0.263919557,0.294485834
11102,34133,63382.44433,0.331792518,0.53009964,0.086901181,0.140091642,0.27127428
11103,38780,73201.59719,0.385330428,0.66441065,0.024979268,0.140836178,0.216591026
11104,27232,65875.85819,0.333541128,0.607297224,0.01874541,0.202066907,0.286259327
11105,36688,73584.27017,0.388966801,0.759118758,0.025797454,0.126960314,0.223093982
11106,38875,63383.11816,0.367338675,0.516408823,0.070499087,0.199648,0.270002675
11109,3523,142348,1.137421516,1.143080329,0.099837638,0.407030372,0.145512347
11201,51128,130115.6884,0.673109079,0.765434908,0.154320959,0.139503071,0.133792795
11203,76174,53417.59247,0.161738612,0.041575472,0.868367671,0.017424686,0.063678145
11204,78134,51078.85626,0.163280262,0.534776845,0.010735928,0.297903627,0.111436033
11205,40366,62197.13534,0.300370262,0.517136451,0.333537185,0.06293663,0.185932096
11206,81677,46284.54982,0.167305214,0.481065735,0.248760875,0.07188386,0.346803335
11207,93386,41727.91691,0.092406442,0.126284561,0.560226822,0.012594961,0.294172017
11208,94469,43881.39245,0.087840011,0.243998867,0.530793297,0.053090093,0.401938445
11209,68853,76116.17426,0.367199802,0.727100882,0.029748885,0.133853659,0.169484191
11210,62008,72151.33933,0.244726955,0.333943878,0.637088553,0.0496718,0.07709352
11211,90117,74414.86621,0.369593617,0.829051866,0.07053344,0.060328806,0.251834504
11212,84500,30776.82671,0.080930686,0.058503657,0.64311013,0.011564118,0.145106047
11213,63767,44348.88578,0.182846723,0.224280208,0.68343063,0.020368012,0.109219314
11214,88630,58410.09612,0.218763568,0.483419553,0.012928602,0.372475347,0.156168182
11215,63488,130196.0825,0.621330173,0.841948526,0.051409888,0.088027391,0.180952416
11216,54316,64910.93998,0.342249761,0.280269957,0.557299562,0.049984922,0.103708521
11217,35881,109444.0484,0.575360832,0.659263621,0.223373094,0.088128647,0.210449319
11218,75220,70364.18471,0.279403164,0.554558189,0.067744629,0.177443353,0.15749314
11219,92221,40437.4168,0.095900511,0.612706119,0.009635647,0.218678501,0.109335867
11220,99598,48959.79484,0.133052722,0.281667001,0.0245274,0.387604169,0.376308852
11221,78895,54254.8603,0.204192027,0.271155777,0.497029824,0.025115685,0.34776522
11222,36934,88613.03588,0.477789923,0.808631342,0.046638653,0.04917913,0.149008529
11223,78731,55112.50211,0.211212051,0.577153002,0.050860119,0.220945206,0.165712273
11224,47621,43195.35356,0.25478856,0.568918607,0.221772411,0.059106802,0.199806346
11225,56829,57881.44164,0.278740485,0.275405321,0.654726179,0.025185099,0.086911366
11226,101572,55308.63446,0.190883068,0.150334443,0.658359824,0.031188428,0.165387577
11228,41788,73825.28497,0.25741543,0.592842347,0.011864076,0.378986096,0.132235642
11229,80018,64507.99513,0.268709815,0.647500737,0.058617336,0.227641731,0.105788423
11230,86408,53513.76367,0.25941782,0.691698836,0.073519408,0.138067031,0.102161999
11231,33336,118530.3366,0.450277778,0.633881659,0.131156617,0.056644738,0.1751211
11232,28265,59622.95627,0.202983442,0.379655723,0.033476066,0.185684168,0.462207217
11233,67053,46281.79233,0.187043518,0.099300583,0.880367948,0.021114163,0.181766886
11234,87757,85319.87084,0.261269164,0.453137653,0.494190857,0.069464818,0.110741308
