ID,Date,Cases_New
11215,2020-04-20,39
10040,2020-04-20,87
11210,2020-04-20,120
10463,2020-04-20,372
11426,2020-04-20,52
11377,2020-04-20,214
11233,2020-04-20,126
11004,2020-04-20,43
11369,2020-04-20,142
11421,2020-04-20,118
11219,2020-04-20,221
10017,2020-04-20,12
10039,2020-04-20,54
11370,2020-04-20,188
10034,2020-04-20,74
10466,2020-04-20,204
10472,2020-04-20,201
11206,2020-04-20,147
11207,2020-04-20,203
10016,2020-04-20,38
10005,2020-04-20,6
10459,2020-04-20,160
11105,2020-04-20,44
11229,2020-04-20,123
11356,2020-04-20,53
11414,2020-04-20,61
11412,2020-04-20,125
11225,2020-04-20,106
11211,2020-04-20,146
11237,2020-04-20,93
10303,2020-04-20,68
11436,2020-04-20,61
11357,2020-04-20,70
11433,2020-04-20,92
11203,2020-04-20,196
10029,2020-04-20,176
10458,2020-04-20,181
10309,2020-04-20,57
10011,2020-04-20,25
11411,2020-04-20,63
10302,2020-04-20,58
11358,2020-04-20,58
11419,2020-04-20,144
11224,2020-04-20,125
10454,2020-04-20,115
11205,2020-04-20,58
10469,2020-04-20,198
10301,2020-04-20,93
10024,2020-04-20,45
11236,2020-04-20,230
11432,2020-04-20,189
11109,2020-04-20,2
10304,2020-04-20,93
10030,2020-04-20,23
11212,2020-04-20,184
11103,2020-04-20,44
11413,2020-04-20,116
10307,2020-04-20,26
11693,2020-04-20,14
11239,2020-04-20,39
11104,2020-04-20,45
11435,2020-04-20,177
11418,2020-04-20,117
11228,2020-04-20,53
11209,2020-04-20,97
11201,2020-04-20,40
10027,2020-04-20,78
10009,2020-04-20,39
11238,2020-04-20,54
10455,2020-04-20,108
10456,2020-04-20,263
10473,2020-04-20,145
10306,2020-04-20,98
11354,2020-04-20,133
10028,2020-04-20,24
11226,2020-04-20,235
10308,2020-04-20,41
10470,2020-04-20,36
10305,2020-04-20,93
10002,2020-04-20,71
11434,2020-04-20,170
11355,2020-04-20,133
10023,2020-04-20,31
10007,2020-04-20,4
10457,2020-04-20,195
10010,2020-04-20,14
11102,2020-04-20,70
11360,2020-04-20,46
10012,2020-04-20,13
10460,2020-04-20,160
10031,2020-04-20,98
11363,2020-04-20,8
10026,2020-04-20,45
11361,2020-04-20,39
10468,2020-04-20,233
10001,2020-04-20,23
10128,2020-04-20,38
11208,2020-04-20,224
11222,2020-04-20,39
11697,2020-04-20,6
11364,2020-04-20,47
10075,2020-04-20,19
10006,2020-04-20,1
11691,2020-04-20,219
10461,2020-04-20,180
11420,2020-04-20,160
11214,2020-04-20,118
11101,2020-04-20,49
10312,2020-04-20,81
11365,2020-04-20,80
10474,2020-04-20,30
11415,2020-04-20,39
10014,2020-04-20,12
11379,2020-04-20,84
10069,2020-04-20,1
10453,2020-04-20,220
11221,2020-04-20,125
11428,2020-04-20,63
11429,2020-04-20,86
10013,2020-04-20,20
11223,2020-04-20,153
11362,2020-04-20,32
10310,2020-04-20,62
10471,2020-04-20,64
11204,2020-04-20,191
11694,2020-04-20,83
10022,2020-04-20,18
10282,2020-04-20,6
11230,2020-04-20,172
11213,2020-04-20,100
10280,2020-04-20,2
11385,2020-04-20,250
10472,2020-04-27,132
11216,2020-04-27,46
10474,2020-04-27,16
10473,2020-04-27,139
10022,2020-04-27,19
10024,2020-04-27,35
10027,2020-04-27,78
11379,2020-04-27,47
11213,2020-04-27,73
10021,2020-04-27,21
11418,2020-04-27,83
11415,2020-04-27,30
10035,2020-04-27,48
11211,2020-04-27,162
11421,2020-04-27,89
11214,2020-04-27,112
11378,2020-04-27,47
10032,2020-04-27,109
11209,2020-04-27,57
10030,2020-04-27,28
11385,2020-04-27,148
11420,2020-04-27,86
10471,2020-04-27,45
10470,2020-04-27,22
11375,2020-04-27,66
10033,2020-04-27,111
10026,2020-04-27,49
10029,2020-04-27,121
11411,2020-04-27,40
11210,2020-04-27,97
10031,2020-04-27,88
11207,2020-04-27,163
11414,2020-04-27,41
11412,2020-04-27,78
11212,2020-04-27,178
10028,2020-04-27,20
10468,2020-04-27,184
11417,2020-04-27,77
10466,2020-04-27,115
11208,2020-04-27,180
11693,2020-04-27,13
10023,2020-04-27,15
10025,2020-04-27,71
10467,2020-04-27,229
11419,2020-04-27,87
10019,2020-04-27,32
11377,2020-04-27,162
10469,2020-04-27,194
11215,2020-04-27,31
11413,2020-04-27,74
10034,2020-04-27,49
10475,2020-04-27,90
11358,2020-04-27,33
10302,2020-04-27,37
10458,2020-04-27,166
10011,2020-04-27,19
11357,2020-04-27,49
11203,2020-04-27,144
11433,2020-04-27,61
10303,2020-04-27,35
11225,2020-04-27,49
11356,2020-04-27,30
10304,2020-04-27,87
10457,2020-04-27,175
10010,2020-04-27,13
11103,2020-04-27,37
11355,2020-04-27,99
11434,2020-04-27,103
10305,2020-04-27,73
11224,2020-04-27,100
11226,2020-04-27,174
10301,2020-04-27,57
11432,2020-04-27,153
10075,2020-04-27,10
11364,2020-04-27,23
11222,2020-04-27,21
10128,2020-04-27,12
10013,2020-04-27,13
11363,2020-04-27,4
10460,2020-04-27,121
11429,2020-04-27,42
10280,2020-04-27,3
11362,2020-04-27,14
11204,2020-04-27,101
11223,2020-04-27,101
11694,2020-04-27,47
10282,2020-04-27,0
10012,2020-04-27,11
11361,2020-04-27,27
11102,2020-04-27,45
11360,2020-04-27,18
11697,2020-04-27,4
11354,2020-04-27,78
10456,2020-04-27,213
10310,2020-04-27,54
10006,2020-04-27,0
11235,2020-04-27,158
11691,2020-04-27,131
10312,2020-04-27,62
10453,2020-04-27,178
11105,2020-04-27,21
